名次,股票名稱,收盤價,漲跌,漲跌幅,5日買進張數,5日賣出張數,5日買賣超張數
1,3481 群創,14.35,0.15,1.06%,"151,932","71,234","80,697"
2,2303 聯電,48.00,0.50,1.05%,"110,216","40,997","69,218"
3,00878 國泰永續高股息,21.12,0.07,0.33%,"96,431","38,855","57,576"
4,00712 復華富時不動產,9.30,0.03,0.32%,"96,905","48,595","48,309"
5,2882 國泰金,69.00,1.40,2.07%,"100,796","59,821","40,975"
6,00900 富邦特選高股息30,13.23,-0.02,-0.15%,"64,186","29,798","34,388"
7,2880 華南金,30.75,0.50,1.65%,"52,349","24,321","28,027"
8,2605 新興,31.55,2.85,9.93%,"45,357","18,221","27,136"
9,2002 中鋼,18.90,-0.15,-0.79%,"59,361","32,840","26,521"
10,00940 元大台灣價值高息,9.29,0.00,0.00%,"46,510","24,538","21,972"
11,2889 國票金,17.25,0.10,0.58%,"42,203","20,433","21,769"
12,2867 三商壽,7.26,-0.03,-0.41%,"52,915","31,151","21,763"
13,00891 中信關鍵半導體,19.17,-0.04,-0.21%,"38,784","18,838","19,945"
14,2382 廣達,294.50,2.00,0.68%,"37,354","21,894","15,459"
15,2891 中信金,44.35,0.65,1.49%,"78,991","65,010","13,981"
16,00941 中信上游半導體,17.29,0.19,1.11%,"23,905","9,981","13,924"
17,3037 欣興,198.50,2.00,1.02%,"46,337","32,547","13,790"
18,2883 凱基金,16.00,0.15,0.95%,"66,114","52,502","13,611"
19,00632R元大台灣50反1,17.15,-0.01,-0.06%,"69,533","56,888","12,645"
20,2885 元大金,37.30,0.75,2.05%,"62,764","50,369","12,394"
21,1301 台塑,42.80,-1.05,-2.39%,"37,920","25,743","12,177"
22,2356 英業達,46.05,0.95,2.11%,"34,801","23,054","11,747"
23,2454 聯發科,"1,405.00",5.00,0.36%,"24,525","13,298","11,226"
24,2834 臺企銀,16.00,0.15,0.95%,"34,029","22,834","11,195"
25,5608 四維航,20.75,1.85,9.79%,"18,433","7,345","11,088"
26,9904 寶成,31.40,0.00,0.00%,"23,232","12,227","11,005"
27,2009 第一銅,47.75,4.30,9.90%,"17,858","6,882","10,975"
28,2884 玉山金,30.80,0.40,1.32%,"70,856","60,621","10,235"
29,0056 元大高股息,36.40,0.09,0.25%,"39,123","29,805","9,318"
30,2606 裕民,69.60,6.30,9.95%,"26,493","17,233","9,259"
31,00929 復華台灣科技優息,17.75,0.00,0.00%,"24,534","15,818","8,715"
32,2027 大成鋼,38.85,0.30,0.78%,"43,792","36,064","7,727"
33,00885 富邦越南,17.18,-0.02,-0.12%,"16,314","9,164","7,149"
34,3189 景碩,148.00,0.00,0.00%,"21,136","14,056","7,079"
35,2890 永豐金,27.35,0.10,0.37%,"48,088","41,229","6,859"
36,1313 聯成,11.45,0.15,1.33%,"17,401","10,549","6,851"
37,3706 神達,92.80,1.30,1.42%,"29,613","22,971","6,641"
38,00915 凱基優選高股息30,22.33,0.23,1.04%,"11,978","5,378","6,600"
39,00939 統一台灣高息動能,14.10,0.08,0.57%,"21,102","14,756","6,346"
40,6153 嘉聯益,16.35,0.10,0.62%,"11,650","5,349","6,301"
41,00830 國泰費城半導體,58.50,0.20,0.34%,"24,096","18,032","6,064"
42,1326 台化,34.45,-1.15,-3.23%,"25,755","20,004","5,750"
43,1402 遠東新,28.90,-0.15,-0.52%,"24,650","18,950","5,699"
44,2406 國碩,23.35,2.00,9.37%,"13,461","7,842","5,619"
45,3535 晶彩科,90.90,-0.40,-0.44%,"14,264","8,777","5,486"
46,00713 元大台灣高息低波,50.45,0.10,0.20%,"12,692","8,003","4,688"
47,009802富邦旗艦50,10.95,0.05,0.46%,"13,444","8,889","4,555"
48,2308 台達電,999.00,2.00,0.20%,"19,062","14,615","4,446"
49,2006 東和鋼鐵,72.00,-1.50,-2.04%,"10,356","5,944","4,411"
