Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,00406A主動中信台灣收益,9.67,-0.14,-1.43%,"627,151","2,357,681","-1,730,529"
2,0050 元大台灣50,106.25,-0.70,-0.65%,"1,062,517","1,469,513","-406,996"
3,00881 國泰台灣科技龍頭,49.58,-0.42,-0.84%,"229,308","622,045","-392,737"
4,00878 國泰永續高股息,33.18,+ 0.18,+0.55%,"291,724","681,501","-389,776"
5,00984D主動聯博全球非投,10.01,0.00,0.00%,"248,384","598,294","-349,910"
6,00685L群益臺灣加權正2,11.82,-0.14,-1.17%,"1,871,069","2,186,485","-315,415"
7,00632R元大台灣50反1,9.95,+ 0.06,+0.61%,"1,650,707","1,961,405","-310,697"
8,00961 FT臺灣永續高息,13.20,+ 0.03,+0.23%,"142,655","427,465","-284,810"
9,3481 群創,49.85,+ 1.25,+2.57%,"781,746","1,033,999","-252,252"
10,009826貝萊德世界股票,10.10,-0.03,-0.30%,"168,061","410,229","-242,167"
11,009816凱基台灣TOP50,15.56,-0.03,-0.19%,"1,256,283","1,487,756","-231,472"
12,00953B群益優選非投等債,9.64,+ 0.01,+0.10%,"450,565","674,208","-223,642"
13,00929 復華台灣科技優息,29.15,+ 0.02,+0.07%,"227,958","444,954","-216,995"
14,2303 聯電,129.00,-1.00,-0.77%,"987,188","1,169,017","-181,828"
15,00891 中信關鍵半導體,34.34,-0.24,-0.69%,"122,112","289,314","-167,201"
16,2834 臺企銀,16.95,+ 0.50,+3.04%,"875,771","1,003,632","-127,860"
17,00673R期元大S＆P原油反1,12.06,-0.33,-2.66%,"230,822","356,426","-125,603"
18,2327 國巨*,545.00,-52.00,-8.71%,"198,113","291,176","-93,063"
19,00923 群益台ESG低碳50,39.38,-0.39,-0.98%,"59,498","148,297","-88,798"
20,00712 復華富時不動產,8.72,-0.01,-0.11%,"249,141","331,933","-82,792"
21,8150 南茂,89.10,-1.40,-1.55%,"149,804","229,587","-79,783"
22,00664R國泰臺灣加權反1,1.61,+ 0.01,+0.63%,"365,634","440,326","-74,691"
23,00988A主動統一全球創新,15.99,-0.40,-2.44%,"388,389","462,106","-73,716"
24,2409 友達,26.65,+ 0.80,+3.09%,"734,107","801,272","-67,164"
25,9904 寶成,24.85,+ 0.50,+2.05%,"211,039","269,119","-58,079"
26,00982A主動群益台灣強棒,22.39,-0.15,-0.67%,"267,511","325,284","-57,773"
27,1718 中纖,10.90,+ 0.15,+1.40%,"217,115","269,686","-52,571"
28,2449 京元電子,257.00,-13.00,-4.81%,"129,218","181,628","-52,410"
29,2337 旺宏,126.00,-0.50,-0.40%,"344,425","391,435","-47,010"
30,1314 中石化,8.18,+ 0.13,+1.61%,"241,047","287,557","-46,509"
31,2492 華新科,295.00,-18.50,-5.90%,"116,668","161,592","-44,924"
32,2332 友訊,19.90,-0.50,-2.45%,"139,141","183,146","-44,004"
33,00991A主動復華未來50,17.95,-0.35,-1.91%,"1,779,282","1,820,660","-41,378"
34,6005 群益證,31.00,-0.45,-1.43%,"79,453","120,290","-40,837"
35,00985B群益ESG投等債0-5,10.19,+ 0.02,+0.20%,"105,916","144,595","-38,678"
36,4958 臻鼎-KY,500.00,+ 19.50,+4.06%,"145,640","182,119","-36,479"
37,2812 台中銀,19.05,+ 0.20,+1.06%,"233,836","270,077","-36,241"
38,00830 國泰費城半導體,81.00,-1.85,-2.23%,"81,211","114,302","-33,090"
39,2885 元大金,65.40,+ 1.40,+2.19%,"362,522","395,446","-32,924"
40,2889 國票金,15.95,+ 0.05,+0.31%,"134,205","166,830","-32,624"
41,6239 力成,277.00,-10.00,-3.48%,"108,378","140,217","-31,839"
42,2481 強茂,151.00,-3.00,-1.95%,"123,032","154,064","-31,031"
43,2382 廣達,338.50,+ 6.00,+1.80%,"187,805","218,637","-30,832"
44,2105 正新,30.90,+ 0.35,+1.15%,"84,978","115,599","-30,620"
45,3702 大聯大,99.60,-0.40,-0.40%,"126,666","156,562","-29,896"
46,2634 漢翔,66.90,-0.90,-1.33%,"261,531","287,952","-26,421"
47,3711 日月光投控,584.00,-37.00,-5.96%,"172,379","196,866","-24,487"
48,00990A主動元大AI新經濟,15.00,-0.37,-2.41%,"211,583","235,726","-24,143"
49,00686R群益臺灣加權反1,0.98,-0.01,-1.01%,"173,462","196,984","-23,521"
50,2406 國碩,28.05,-0.60,-2.09%,"31,484","54,825","-23,341"
