Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,00403A主動統一升級50,10.58,+ 0.38,+3.73%,"457,269","709,109","-251,840"
2,2892 第一金,27.60,+ 0.05,+0.18%,"113,434","336,534","-223,100"
3,00988A主動統一全球創新,22.08,+ 1.72,+8.45%,"77,869","167,807","-89,937"
4,00712 復華富時不動產,8.75,-0.02,-0.23%,"20,914","68,667","-47,752"
5,2890 永豐金,28.95,-0.15,-0.52%,"37,521","85,120","-47,599"
6,2884 玉山金,30.90,-0.40,-1.28%,"47,960","92,778","-44,818"
7,00984D主動聯博全球非投,10.06,0.00,0.00%,"25,615","61,976","-36,361"
8,00632R元大台灣50反1,10.68,-0.40,-3.61%,"137,688","172,843","-35,155"
9,2883 凱基金,21.65,-0.05,-0.23%,"93,290","118,949","-25,658"
10,2355 敬鵬,67.00,+ 1.80,+2.76%,"22,861","47,601","-24,740"
11,2801 彰銀,20.20,-0.10,-0.49%,"31,938","56,648","-24,710"
12,2408 南亞科,296.00,-14.50,-4.67%,"40,308","62,053","-21,745"
13,9904 寶成,25.65,-0.15,-0.58%,"23,603","41,490","-17,886"
14,5880 合庫金,22.65,-0.05,-0.22%,"14,898","32,440","-17,541"
15,1102 亞泥,33.60,-0.80,-2.33%,"19,834","36,983","-17,148"
16,00753L中信中國50正2,9.90,-0.08,-0.80%,"14,882","31,934","-17,052"
17,2834 臺企銀,15.90,-0.10,-0.63%,"26,722","42,770","-16,048"
18,00953B群益優選非投等債,9.56,-0.03,-0.31%,"38,617","54,646","-16,028"
19,8150 南茂,86.80,+ 7.70,+9.73%,"16,904","31,109","-14,205"
20,2880 華南金,30.55,-1.40,-4.38%,"89,378","103,453","-14,074"
21,3576 聯合再生,19.35,+ 1.10,+6.03%,"31,623","45,607","-13,984"
22,2881 富邦金,97.70,+ 2.60,+2.73%,"73,738","86,949","-13,210"
23,2481 強茂,134.00,+ 0.50,+0.37%,"18,392","31,184","-12,792"
24,1301 台塑,44.80,-0.45,-0.99%,"13,569","26,239","-12,670"
25,8112 至上,83.40,-2.80,-3.25%,"17,856","30,504","-12,647"
26,00715L期街口布蘭特正2,54.45,-7.80,-12.53%,"9,557","22,081","-12,523"
27,1216 統一,71.20,-0.30,-0.42%,"27,511","39,232","-11,720"
28,2337 旺宏,152.50,+ 3.00,+2.01%,"62,468","73,885","-11,416"
29,1326 台化,44.95,-0.60,-1.32%,"9,305","20,530","-11,225"
30,2412 中華電,136.50,-0.50,-0.36%,"21,761","32,355","-10,593"
31,3033 威健,49.20,-4.70,-8.72%,"15,509","25,849","-10,340"
32,009805新光美國電力基建,17.00,+ 0.46,+2.78%,"33,955","44,233","-10,277"
33,2633 台灣高鐵,25.30,-0.50,-1.94%,"17,968","28,092","-10,124"
34,00665L富邦恒生國企正2,9.62,-0.07,-0.72%,"19,818","29,450","-9,631"
35,6285 啟碁,298.00,+ 2.00,+0.68%,"13,351","22,772","-9,421"
36,2812 台中銀,18.75,-0.20,-1.06%,"9,492","18,811","-9,318"
37,00935 野村臺灣新科技50,59.80,+ 3.45,+6.12%,"38,674","47,632","-8,958"
38,9945 潤泰新,22.95,-0.35,-1.50%,"11,623","20,469","-8,846"
39,3045 台灣大,111.50,-0.50,-0.45%,"31,353","39,884","-8,531"
40,1101 台泥,24.30,+ 0.20,+0.83%,"38,782","47,244","-8,461"
41,3006 晶豪科,229.00,-8.50,-3.58%,"16,738","25,184","-8,445"
42,4960 誠美材,36.00,+ 0.20,+0.56%,"13,888","21,206","-7,318"
43,2371 大同,30.40,+ 0.90,+3.05%,"21,342","28,024","-6,682"
44,2449 京元電子,317.00,+ 21.00,+7.09%,"27,569","34,152","-6,583"
45,00664R國泰臺灣加權反1,1.73,-0.06,-3.35%,"59,335","65,902","-6,567"
46,3673 TPK-KY,79.50,+ 2.50,+3.25%,"19,491","26,018","-6,527"
47,1582 信錦,114.00,-1.00,-0.87%,"11,150","17,582","-6,431"
48,6505 台塑化,49.50,-1.50,-2.94%,"7,041","12,902","-5,860"
49,2867 三商壽,7.50,-0.13,-1.70%,"12,493","18,069","-5,576"
50,00642U期元大S＆P石油,28.64,-2.24,-7.25%,"7,514","12,630","-5,116"
