Rank,Stock,Price,Change,ChangePercent,NetBuy
1,00403A主動統一升級50,10.33,+ 0.32,+3.20%,"129,880"
2,6770 力積電,74.00,+ 2.80,+3.93%,"110,338"
3,00981A主動統一台股增長,29.07,+ 0.94,+3.34%,"47,243"
4,00631L元大台灣50正2,37.65,+ 1.24,+3.41%,"37,318"
5,2303 聯電,156.00,+ 8.50,+5.76%,"37,317"
6,2408 南亞科,525.00,+ 37.00,+7.58%,"32,542"
7,2344 華邦電,179.50,+ 9.50,+5.59%,"32,529"
8,1314 中石化,8.96,0.00,0.00%,"28,475"
9,00405A主動富邦台灣龍耀,8.87,+ 0.44,+5.22%,"25,028"
10,00406A主動中信台灣收益,9.59,+ 0.28,+3.01%,"24,711"
11,2449 京元電子,291.50,+ 26.50,+10.00%,"24,050"
12,6257 矽格,244.50,+ 22.00,+9.89%,"21,774"
13,2609 陽明,61.00,-1.00,-1.61%,"17,796"
14,2412 中華電,145.50,+ 0.50,+0.34%,"17,473"
15,2885 元大金,70.00,+ 1.00,+1.45%,"17,185"
16,00400A主動國泰動能高息,15.00,+ 0.43,+2.95%,"16,591"
17,00991A主動復華未來50,17.45,+ 0.49,+2.89%,"15,267"
18,8150 南茂,94.00,+ 7.30,+8.42%,"14,914"
19,00407A主動凱基台灣,9.70,+ 0.35,+3.74%,"13,807"
20,00409A主動復華全球50,9.78,+ 0.25,+2.62%,"11,768"
21,009824群益美國科技巨頭,10.19,+ 0.14,+1.39%,"11,523"
22,00929 復華台灣科技優息,29.03,+ 0.47,+1.65%,"11,240"
23,2892 第一金,39.80,-0.95,-2.33%,"11,035"
24,2330 台積電,"2,460.00",+ 35.00,+1.44%,"10,834"
25,3711 日月光投控,638.00,+ 24.00,+3.91%,"9,678"
26,00891 中信關鍵半導體,36.37,+ 0.96,+2.71%,"9,646"
27,2880 華南金,47.65,-0.25,-0.52%,"9,294"
28,5880 合庫金,27.30,-0.25,-0.91%,"8,405"
29,1301 台塑,65.00,+ 0.40,+0.62%,"8,023"
30,2615 萬海,120.50,0.00,0.00%,"7,858"
31,1101 台泥,24.35,-0.10,-0.41%,"7,650"
32,1718 中纖,10.60,-0.30,-2.75%,"6,992"
33,1402 遠東新,28.10,0.00,0.00%,"6,909"
34,4763 材料*-KY,50.50,+ 2.80,+5.87%,"6,890"
35,2371 大同,29.20,-0.50,-1.68%,"6,752"
36,00992A主動群益科技創新,18.21,+ 0.69,+3.94%,"6,612"
37,2891 中信金,69.50,-1.70,-2.39%,"6,459"
38,6239 力成,284.00,+ 9.50,+3.46%,"6,389"
39,2337 旺宏,121.00,+ 4.50,+3.86%,"6,383"
40,00685L群益臺灣加權正2,12.42,+ 0.44,+3.67%,"6,109"
41,00935 野村臺灣新科技50,58.55,+ 2.00,+3.54%,"5,991"
42,6226 光鼎,45.70,+ 1.85,+4.22%,"5,958"
43,6505 台塑化,86.50,+ 0.30,+0.35%,"5,658"
44,3717 聯嘉投控,25.10,+ 2.20,+9.61%,"5,646"
45,00982A主動群益台灣強棒,22.83,+ 0.68,+3.07%,"5,458"
46,2489 瑞軒,44.15,+ 0.95,+2.20%,"5,394"
47,3605 宏致,154.00,+ 14.00,+10.00%,"5,338"
48,1326 台化,68.10,-0.50,-0.73%,"5,328"
49,3231 緯創,186.50,0.00,0.00%,"5,324"
50,6168 宏齊,38.85,+ 3.50,+9.90%,"5,318"
