Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,2367 燿華,76.50,-1.70,-2.17%,"8,812,094","26,961,853","-18,149,758"
2,2313 華通,263.00,-7.00,-2.59%,"34,891,140","40,550,185","-5,659,045"
3,4958 臻鼎-KY,226.50,-3.50,-1.52%,"7,351,744","12,433,870","-5,082,126"
4,3017 奇鋐,"2,135.00",-60.00,-2.73%,"6,964,115","12,019,459","-5,055,344"
5,8046 南電,580.00,+ 19.00,+3.39%,"11,003,108","14,385,615","-3,382,506"
6,2337 旺宏,128.00,+ 3.00,+2.40%,"2,460,033","5,616,551","-3,156,517"
7,4906 正文,35.00,-2.10,-5.66%,"1,277,391","4,244,245","-2,966,853"
8,3026 禾伸堂,147.00,-4.00,-2.65%,"1,393,704","4,270,340","-2,876,635"
9,6669 緯穎,"3,370.00",-25.00,-0.74%,"4,065,329","6,799,766","-2,734,437"
10,6285 啟碁,179.00,-9.50,-5.04%,"6,006,537","8,628,075","-2,621,538"
11,2455 全新,273.50,+ 3.00,+1.11%,"5,244,401","7,561,781","-2,317,379"
12,3715 定穎投控,185.00,-18.50,-9.09%,"12,763,836","15,013,138","-2,249,302"
13,00711B復華彭博新興債,15.81,-0.05,-0.32%,"2,424","2,117,408","-2,114,983"
14,6139 亞翔,545.00,-29.00,-5.05%,"1,547,701","3,042,404","-1,494,703"
15,2355 敬鵬,51.40,+ 0.90,+1.78%,"3,087,492","4,393,140","-1,305,648"
16,1519 華城,834.00,-31.00,-3.58%,"2,094,747","3,345,621","-1,250,874"
17,8021 尖點,265.00,-3.00,-1.12%,"4,196,900","5,426,694","-1,229,794"
18,3034 聯詠,391.00,-8.00,-2.01%,"2,667,032","3,888,958","-1,221,925"
19,1802 台玻,54.40,-0.50,-0.91%,"1,820,620","3,006,757","-1,186,137"
20,3576 聯合再生,22.00,-1.25,-5.38%,"600,117","1,689,899","-1,089,781"
21,6770 力積電,58.10,-1.10,-1.86%,"12,036,947","13,111,299","-1,074,352"
22,2404 漢唐,836.00,-44.00,-5.00%,"2,773,334","3,808,595","-1,035,260"
23,2419 仲琦,34.70,-0.70,-1.98%,"408,758","1,427,539","-1,018,780"
24,2345 智邦,"1,635.00",-20.00,-1.21%,"6,352,029","7,351,432","-999,402"
25,1304 台聚,17.80,+ 1.60,+9.88%,"522,350","1,470,333","-947,983"
26,3138 耀登,178.00,-6.50,-3.52%,"449,904","1,289,360","-839,456"
27,3376 新日興,205.00,-2.50,-1.20%,"403,813","1,239,241","-835,428"
28,2360 致茂,"1,625.00",+ 10.00,+0.62%,"4,967,946","5,781,518","-813,571"
29,2408 南亞科,220.50,+ 1.00,+0.46%,"27,799,385","28,518,129","-718,744"
30,6531 愛普*,485.00,-22.00,-4.34%,"1,303,312","2,007,584","-704,272"
31,4919 新唐,94.90,-7.60,-7.41%,"2,147,884","2,846,775","-698,891"
32,5871 中租-KY,111.00,-2.00,-1.77%,"1,107,692","1,784,113","-676,421"
33,2301 光寶科,149.50,-2.50,-1.64%,"1,332,346","1,994,343","-661,996"
34,1905 華紙,16.90,+ 1.50,+9.74%,"299,826","957,294","-657,467"
35,6830 汎銓,452.00,+ 17.50,+4.03%,"1,626,252","2,258,517","-632,264"
36,3532 台勝科,140.50,-1.00,-0.71%,"261,132","877,254","-616,122"
37,4977 眾達-KY,190.00,-10.00,-5.00%,"1,635,296","2,246,320","-611,024"
38,2449 京元電子,272.00,-6.50,-2.33%,"4,634,222","5,212,668","-578,445"
39,3036 文曄,225.00,-4.00,-1.75%,"1,420,254","1,965,802","-545,547"
40,3023 信邦,255.50,-8.00,-3.04%,"440,982","921,078","-480,095"
41,2409 友達,14.30,-0.10,-0.69%,"639,889","1,101,061","-461,172"
42,2485 兆赫,79.60,-0.80,-1.00%,"528,394","975,109","-446,714"
43,3665 貿聯-KY,"1,880.00",+ 20.00,+1.08%,"4,391,304","4,818,396","-427,092"
44,6706 惠特,122.50,-4.00,-3.16%,"414,805","838,525","-423,719"
45,2605 新興,42.00,-1.00,-2.33%,"1,114,792","1,517,881","-403,088"
46,6443 元晶,42.65,-2.35,-5.22%,"1,031,006","1,417,860","-386,853"
47,3037 欣興,493.50,-11.50,-2.28%,"2,471,505","2,854,458","-382,953"
48,3149 正達,45.30,-0.70,-1.52%,"218,269","594,556","-376,286"
49,00965 元大航太防衛科技,23.77,-0.60,-2.46%,"149,304","521,196","-371,891"
50,6672 騰輝電子-KY,128.50,-3.00,-2.28%,"600,493","963,678","-363,184"
