Rank,Stock,Price,Change,ChangePercent,NetBuy
1,1314 中石化,10.40,+ 0.52,+5.26%,"88,728"
2,2883 凱基金,29.00,+ 0.55,+1.93%,"60,052"
3,3481 群創,69.20,+ 3.20,+4.85%,"56,691"
4,2882 國泰金,93.40,-0.20,-0.21%,"56,143"
5,2887 台新新光金,34.30,+ 0.15,+0.44%,"47,885"
6,2881 富邦金,121.50,+ 0.50,+0.41%,"45,175"
7,1717 長興,85.40,+ 3.80,+4.66%,"39,615"
8,2105 正新,32.55,+ 0.40,+1.24%,"36,166"
9,2834 臺企銀,18.00,+ 0.05,+0.28%,"33,972"
10,2324 仁寶,35.70,+ 0.75,+2.15%,"32,431"
11,2303 聯電,166.00,-4.50,-2.64%,"28,520"
12,2812 台中銀,20.55,+ 0.15,+0.74%,"25,207"
13,2409 友達,31.70,+ 1.70,+5.67%,"21,649"
14,2884 玉山金,34.45,+ 0.75,+2.23%,"21,519"
15,1216 統一,77.80,+ 1.50,+1.97%,"18,061"
16,1409 新纖,30.25,-0.75,-2.42%,"17,145"
17,2867 三商壽,8.74,+ 0.18,+2.10%,"16,767"
18,1313 聯成,13.55,-0.75,-5.24%,"16,733"
19,2353 宏碁,32.80,-0.10,-0.30%,"15,381"
20,1312 國喬,14.15,-0.95,-6.29%,"15,309"
21,2609 陽明,53.00,+ 0.60,+1.15%,"15,098"
22,4938 和碩,84.50,+ 0.90,+1.08%,"14,466"
23,2845 遠東銀,13.30,+ 0.15,+1.14%,"13,780"
24,4989 榮科,111.00,+ 0.50,+0.45%,"13,239"
25,2301 光寶科,224.00,+ 5.00,+2.28%,"12,760"
26,1909 榮成,10.65,+ 0.35,+3.40%,"12,157"
27,1504 東元,73.10,+ 3.10,+4.43%,"11,626"
28,2542 興富發,45.00,+ 1.35,+3.09%,"11,146"
29,6239 力成,344.50,+ 6.50,+1.92%,"10,824"
30,00712 復華富時不動產,8.84,+ 0.04,+0.45%,"9,725"
31,2002 中鋼,19.00,+ 0.05,+0.26%,"9,655"
32,6176 瑞儀,92.00,+ 1.70,+1.88%,"9,466"
33,2615 萬海,80.00,+ 0.20,+0.25%,"9,459"
34,2515 中工,14.25,-0.05,-0.35%,"9,192"
35,2103 台橡,24.20,+ 0.70,+2.98%,"9,114"
36,00918 大華優利高填息30,32.06,+ 0.11,+0.34%,"9,096"
37,2369 菱生,43.20,+ 3.90,+9.92%,"8,827"
38,8131 福懋科,82.20,+ 7.40,+9.89%,"8,726"
39,6282 康舒,59.80,+ 1.50,+2.57%,"8,182"
40,2885 元大金,68.40,+ 1.20,+1.79%,"7,988"
41,1609 大亞,43.75,+ 3.95,+9.92%,"7,936"
42,2323 中環,11.90,-0.10,-0.83%,"7,890"
43,2603 長榮,195.50,+ 0.50,+0.26%,"7,658"
44,2449 京元電子,351.00,+ 16.00,+4.78%,"7,649"
45,6505 台塑化,59.50,+ 0.60,+1.02%,"7,301"
46,2889 國票金,15.20,+ 0.20,+1.33%,"6,696"
47,2201 裕隆,29.30,+ 0.50,+1.74%,"6,512"
48,5880 合庫金,24.85,+ 0.15,+0.61%,"6,452"
49,8033 雷虎,222.00,+ 17.50,+8.56%,"6,179"
50,2371 大同,28.15,+ 0.15,+0.54%,"5,981"
