Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,6669 緯穎,"4,635.00",+ 385.00,+9.06%,"22,637,965","15,216,342","7,421,622"
2,2313 華通,214.50,-8.00,-3.60%,"23,352,037","20,237,948","3,114,089"
3,3035 智原,185.00,+ 16.50,+9.79%,"6,340,788","3,474,998","2,865,790"
4,3019 亞光,139.50,+ 12.50,+9.84%,"3,260,057","807,522","2,452,534"
5,3037 欣興,790.00,+ 62.00,+8.52%,"7,675,808","5,847,705","1,828,103"
6,2542 興富發,39.15,+ 1.75,+4.68%,"2,148,595","337,861","1,810,734"
7,2059 川湖,"3,795.00",+ 210.00,+5.86%,"6,216,953","4,447,986","1,768,967"
8,2316 楠梓電,118.00,+ 3.50,+3.06%,"3,388,065","1,915,295","1,472,769"
9,6515 穎崴,"10,060.00",-670.00,-6.24%,"5,706,588","4,323,843","1,382,745"
10,3189 景碩,526.00,+ 47.00,+9.81%,"29,755,624","28,435,475","1,320,149"
11,3045 台灣大,113.00,+ 1.00,+0.89%,"2,522,853","1,243,888","1,278,964"
12,2368 金像電,"1,390.00",+ 125.00,+9.88%,"12,001,744","10,882,103","1,119,641"
13,6805 富世達,"1,915.00",+ 5.00,+0.26%,"6,893,190","5,857,464","1,035,726"
14,2399 映泰,43.65,+ 3.95,+9.95%,"2,089,378","1,278,038","811,339"
15,6176 瑞儀,110.00,+ 0.50,+0.46%,"5,207,655","4,403,112","804,543"
16,3443 創意,"4,035.00",+ 125.00,+3.20%,"7,608,248","6,965,457","642,790"
17,2388 威盛,78.20,+ 2.10,+2.76%,"3,758,582","3,116,507","642,074"
18,3711 日月光投控,496.00,+ 31.50,+6.78%,"13,360,922","12,728,191","632,731"
19,2464 盟立,91.70,+ 7.10,+8.39%,"2,387,305","1,820,012","567,292"
20,1560 中砂,535.00,+ 14.00,+2.69%,"2,253,756","1,700,021","553,734"
21,8081 致新,260.50,+ 18.50,+7.64%,"821,428","288,267","533,161"
22,7711 永擎,405.00,+ 33.00,+8.87%,"1,899,172","1,414,376","484,796"
23,2412 中華電,135.50,-0.50,-0.37%,"1,216,377","738,112","478,264"
24,009819中信數據及電力,10.89,-1.65,-13.16%,"1,847,009","1,386,244","460,765"
25,3023 信邦,290.00,+ 12.00,+4.32%,"1,171,937","752,175","419,761"
26,2476 鉅祥,123.50,+ 6.00,+5.11%,"1,636,778","1,247,156","389,621"
27,2383 台光電,"4,475.00",+ 375.00,+9.15%,"19,487,669","19,110,108","377,561"
28,006208富邦台50,208.95,+ 8.85,+4.42%,"1,604,101","1,226,818","377,282"
29,2356 英業達,48.10,+ 1.80,+3.89%,"2,119,035","1,751,082","367,952"
30,3209 全科,54.50,+ 4.95,+9.99%,"711,805","354,118","357,686"
31,3338 泰碩,81.20,-4.20,-4.92%,"1,953,364","1,696,339","257,024"
32,3059 華晶科,38.50,+ 1.85,+5.05%,"388,591","132,471","256,119"
33,2855 統一證,35.25,+ 1.25,+3.68%,"586,019","336,857","249,162"
34,00965 元大航太防衛科技,25.84,+ 0.16,+0.62%,"639,333","395,025","244,308"
35,6526 達發,601.00,+ 45.00,+8.09%,"2,463,746","2,224,700","239,046"
36,1309 台達化,20.50,+ 0.05,+0.24%,"810,812","584,999","225,812"
37,2429 銘旺科,60.90,+ 5.50,+9.93%,"267,860","46,018","221,841"
38,6451 訊芯-KY,402.00,-44.50,-9.97%,"579,361","360,868","218,493"
39,5871 中租-KY,121.50,+ 0.50,+0.41%,"1,475,951","1,286,872","189,079"
40,2812 台中銀,19.95,-0.20,-0.99%,"637,755","460,381","177,373"
41,2912 統一超,228.00,-6.50,-2.77%,"793,931","625,632","168,299"
42,9910 豐泰,73.00,-3.10,-4.07%,"373,053","208,183","164,870"
43,8464 億豐,356.00,-6.50,-1.79%,"423,108","262,551","160,557"
44,6919 康霈*,99.70,-9.80,-8.95%,"1,154,012","997,931","156,080"
45,1708 東鹼,41.05,+ 1.65,+4.19%,"329,294","176,178","153,116"
46,3044 健鼎,480.50,+ 18.00,+3.89%,"3,755,787","3,610,073","145,714"
47,6658 聯策,110.50,+ 10.00,+9.95%,"942,570","803,258","139,311"
48,00735 國泰臺韓科技,81.70,+ 1.10,+1.36%,"349,304","227,885","121,419"
49,2101 南港,33.40,-0.75,-2.20%,"189,607","68,321","121,286"
50,6108 競國,19.35,+ 1.75,+9.94%,"120,407","16,036","104,370"
