Rank,Stock,Price,Change,ChangePercent,NetSell
1,2892 第一金,27.55,-0.15,-0.54%,"-285,713"
2,2303 聯電,114.00,-2.00,-1.72%,"-98,980"
3,0050 元大台灣50,97.30,+ 1.45,+1.51%,"-84,956"
4,00403A主動統一升級50,10.20,+ 0.19,+1.90%,"-70,635"
5,2337 旺宏,149.50,+ 8.50,+6.03%,"-56,027"
6,1101 台泥,24.10,-0.10,-0.41%,"-53,910"
7,2002 中鋼,18.15,-0.05,-0.27%,"-45,305"
8,2883 凱基金,21.70,+ 0.30,+1.40%,"-40,721"
9,2330 台積電,"2,255.00",+ 25.00,+1.12%,"-36,053"
10,2344 華邦電,125.00,+ 11.00,+9.65%,"-35,146"
11,2884 玉山金,31.30,-0.25,-0.79%,"-34,185"
12,2801 彰銀,20.30,0.00,0.00%,"-29,304"
13,5880 合庫金,22.70,0.00,0.00%,"-25,867"
14,9904 寶成,25.80,0.00,0.00%,"-25,795"
15,8150 南茂,79.10,+ 3.20,+4.22%,"-22,690"
16,2408 南亞科,310.50,+ 17.50,+5.97%,"-20,819"
17,1216 統一,71.50,-1.60,-2.19%,"-20,678"
18,2382 廣達,316.00,+ 8.00,+2.60%,"-20,566"
19,1326 台化,45.55,+ 0.10,+0.22%,"-17,688"
20,2327 國巨*,629.00,+ 57.00,+9.97%,"-16,681"
21,2618 長榮航,35.50,+ 0.20,+0.57%,"-12,330"
22,2481 強茂,133.50,+ 1.00,+0.75%,"-12,272"
23,1102 亞泥,34.40,-0.55,-1.57%,"-11,253"
24,2449 京元電子,296.00,+ 10.00,+3.50%,"-11,126"
25,1303 南亞,86.70,-0.60,-0.69%,"-11,096"
26,9945 潤泰新,23.30,-0.10,-0.43%,"-10,706"
27,00637L元大滬深300正2,20.91,-0.57,-2.65%,"-10,482"
28,2515 中工,13.35,-0.50,-3.61%,"-9,951"
29,3036 文曄,289.00,-2.50,-0.86%,"-9,917"
30,2105 正新,31.90,-0.55,-1.69%,"-9,152"
31,2834 臺企銀,16.00,-0.10,-0.62%,"-9,120"
32,2329 華泰,54.60,+ 1.70,+3.21%,"-8,950"
33,1301 台塑,45.25,-0.50,-1.09%,"-8,819"
34,2633 台灣高鐵,25.80,-0.15,-0.58%,"-8,733"
35,00712 復華富時不動產,8.77,+ 0.01,+0.11%,"-8,063"
36,2887 台新新光金,23.80,-0.05,-0.21%,"-7,740"
37,00738U期元大道瓊白銀,61.80,+ 1.05,+1.73%,"-7,724"
38,2812 台中銀,18.95,-0.05,-0.26%,"-7,452"
39,2912 統一超,220.00,-1.00,-0.45%,"-6,848"
40,2845 遠東銀,12.10,+ 0.10,+0.83%,"-6,760"
41,6443 元晶,40.05,-0.05,-0.12%,"-6,754"
42,3702 大聯大,118.00,-5.50,-4.45%,"-6,647"
43,9907 統一實,15.95,-0.10,-0.62%,"-6,482"
44,4938 和碩,80.70,+ 1.60,+2.02%,"-6,348"
45,2441 超豐,117.00,+ 10.50,+9.86%,"-6,280"
46,2486 一詮,271.00,-7.50,-2.69%,"-5,861"
47,3059 華晶科,43.55,+ 0.35,+0.81%,"-5,773"
48,2376 技嘉,322.50,+ 6.00,+1.90%,"-5,624"
49,3006 晶豪科,237.50,+ 15.50,+6.98%,"-5,559"
50,2880 華南金,31.95,-0.10,-0.31%,"-5,437"
