Date,Ranking,StockCode,StockName,Side,Position,BrokerName,BrokerID,BranchID,Buy,Sell,Net,SharePercent
20260108,5,3481,群創,Buy,5,摩根大通,8440,8440,6419,3218,3201,1.47
20260108,5,3481,群創,Buy,6,元大-土城永寧,9800,9875,2527,544,1983,0.91
20260108,5,3481,群創,Buy,7,永豐金證券,9A00,0039004100300030,3219,1362,1857,0.85
20260108,5,3481,群創,Buy,8,美林,1440,1440,2018,249,1769,0.81
20260108,5,3481,群創,Buy,9,聯邦-興中,8580,8587,1514,23,1491,0.68
20260108,5,3481,群創,Buy,10,統一,5850,5850,2025,726,1299,0.6
20260108,5,3481,群創,Buy,11,永豐金-敦南,9A00,0039004100380046,1201,496,705,0.32
20260108,5,3481,群創,Buy,12,永豐金-羅東,9A00,0039004100390041,844,181,663,0.3
20260108,5,3481,群創,Buy,13,兆豐-北高雄,7000,0037003000300049,916,309,607,0.28
20260108,5,3481,群創,Buy,14,富邦-仁愛,9600,9676,931,391,540,0.25
20260108,5,3481,群創,Buy,15,台新-板橋,9B00,0039004200320062,541,42,499,0.23
20260108,5,3481,群創,Sell,1,元大證券,9800,9800,288,5654,5366,2.46
20260108,5,3481,群創,Sell,2,港商野村,1560,1560,0,4429,4429,2.03
20260108,5,3481,群創,Sell,3,臺銀-臺南,1040,1042,172,3424,3252,1.49
20260108,5,3481,群創,Sell,4,新加坡商瑞銀,1650,1650,318,2436,2118,0.97
20260108,5,3481,群創,Sell,5,凱基,9200,9200,45,1679,1634,0.75
20260108,5,3481,群創,Sell,6,永豐金-中正,9A00,0039004100390055,197,1353,1156,0.53
20260108,5,3481,群創,Sell,7,富邦-樹林,9600,0039003600320045,156,1294,1138,0.52
20260108,5,3481,群創,Sell,8,群益金鼎-建成,9100,003900310038004c,119,1233,1114,0.51
20260108,5,3481,群創,Sell,9,美好-蘆洲,5260,5261,97,1171,1074,0.49
20260108,5,3481,群創,Sell,10,台新-松德,9B00,0039004200320061,84,1139,1055,0.48
20260108,5,3481,群創,Sell,11,統一-高雄,5850,5851,132,1056,924,0.42
20260108,5,3481,群創,Sell,12,元大-新竹經國,9800,9859,181,1093,912,0.42
20260108,5,3481,群創,Sell,13,兆豐-三民,7000,0037003000300068,161,1032,871,0.4
20260108,5,3481,群創,Sell,14,凱基-竹北,9200,9234,352,1136,784,0.36
20260108,5,3481,群創,Sell,15,台新-虎尾,9B00,003900420032004e,85,840,755,0.35
20260108,6,00878,國泰永續高股息,Buy,1,群益金鼎,9100,9100,9378,212,9166,14.76
20260108,6,00878,國泰永續高股息,Buy,2,富邦證券,9600,9600,5778,26,5752,9.26
20260108,6,00878,國泰永續高股息,Buy,3,凱基-台北,9200,9268,6877,2613,4264,6.87
20260108,6,00878,國泰永續高股息,Buy,4,統一,5850,5850,2541,660,1881,3.03
20260108,6,00878,國泰永續高股息,Buy,5,台新-營業部,9B00,0039004200310037,1965,693,1272,2.05
20260108,6,00878,國泰永續高股息,Buy,6,國票證券,7790,7790,1260,53,1207,1.94
20260108,6,00878,國泰永續高股息,Buy,7,台新-台北,9B00,0039004200320030,2484,1384,1100,1.77
20260108,6,00878,國泰永續高股息,Buy,8,國泰證券,8880,8880,551,17,534,0.86
20260108,6,00878,國泰永續高股息,Buy,9,合庫證券,1020,1020,540,28,512,0.82
20260108,6,00878,國泰永續高股息,Buy,10,第一金,5380,5380,350,29,321,0.52
20260108,6,00878,國泰永續高股息,Buy,11,新光,8560,8560,787,514,273,0.44
20260108,6,00878,國泰永續高股息,Buy,12,兆豐證券,7000,7000,243,23,220,0.35
20260108,6,00878,國泰永續高股息,Buy,13,華南永昌,9300,9300,314,123,191,0.31
20260108,6,00878,國泰永續高股息,Buy,14,永豐金-台南,9A00,0039004100390068,151,23,128,0.21
20260108,6,00878,國泰永續高股息,Buy,15,富邦-斗六,9600,0039003600320047,131,10,121,0.19
20260108,6,00878,國泰永續高股息,Sell,1,國泰-敦南,8880,8888,1737,4279,2542,4.09
20260108,6,00878,國泰永續高股息,Sell,2,元大證券,9800,9800,7021,8167,1146,1.85
20260108,6,00878,國泰永續高股息,Sell,3,新加坡商瑞銀,1650,1650,0,781,781,1.26
20260108,6,00878,國泰永續高股息,Sell,4,國泰-板橋,8880,003800380038004b,277,850,573,0.92
20260108,6,00878,國泰永續高股息,Sell,5,群益金鼎-中港,9100,9138,2,550,548,0.88
20260108,6,00878,國泰永續高股息,Sell,6,中國信託,6160,6160,286,739,453,0.73
20260108,6,00878,國泰永續高股息,Sell,7,國泰-台中,8880,8882,326,749,423,0.68
20260108,6,00878,國泰永續高股息,Sell,8,臺銀,1040,1040,296,665,369,0.59
20260108,6,00878,國泰永續高股息,Sell,9,國泰-新莊,8880,8886,140,502,362,0.58
20260108,6,00878,國泰永續高股息,Sell,10,元大-文心,9800,9868,20,346,326,0.52
20260108,6,00878,國泰永續高股息,Sell,11,國泰-館前,8880,0038003800380041,134,426,292,0.47
20260108,6,00878,國泰永續高股息,Sell,12,元大-羅東,9800,0039003800320041,15,299,284,0.46
20260108,6,00878,國泰永續高股息,Sell,13,凱基-中壢,9200,9285,40,291,251,0.4
20260108,6,00878,國泰永續高股息,Sell,14,兆豐-北高雄,7000,0037003000300049,29,272,243,0.39
20260108,6,00878,國泰永續高股息,Sell,15,元大-中壢,9800,9834,51,291,240,0.39
20260108,7,00939,統一台灣高息動能,Buy,1,群益金鼎,9100,9100,12657,18,12639,45.16
20260108,7,00939,統一台灣高息動能,Buy,2,凱基-台北,9200,9268,6996,5,6991,24.98
