日期,身份別,期貨多方交易口數,選擇權多方交易口數,期貨多方交易契約金額(千元),選擇權多方交易契約金額(千元),期貨空方交易口數,選擇權空方交易口數,期貨空方交易契約金額(千元),選擇權空方交易契約金額(千元),期貨多空交易口數淨額,選擇權多空交易口數淨額,期貨多空交易契約金額淨額(千元),選擇權多空交易契約金額淨額(千元),期貨多方未平倉口數,選擇權多方未平倉口數,期貨多方未平倉契約金額(千元),選擇權多方未平倉契約金額(千元),期貨空方未平倉口數,選擇權空方未平倉口數,期貨空方未平倉契約金額(千元),選擇權空方未平倉契約金額(千元),期貨多空未平倉口數淨額,選擇權多空未平倉口數淨額,期貨多空未平倉契約金額淨額(千元),選擇權多空未平倉契約金額淨額(千元)
20260821,自營商,64258,168168,72077865,1007550,65507,161536,75690105,828547,-1249,6632,-3612240,179003,96151,30371,82041590,1262157,317994,27675,255933899,1058635,-221843,2696,-173892309,203522
20260821,投信,565,0,4919481,0,53,1940,488020,123191,512,-1940,4431461,-123191,94229,6,738452960,402,3780,3291,31062827,212793,90449,-3285,707390133,-212391
20260821,外資及陸資,581064,211926,942620369,1147497,584129,211994,947235716,1145309,-3065,-68,-4615347,2188,181203,7638,208290594,363913,645972,10705,1143489907,622314,-464769,-3067,-935199313,-258401
